id,category,sentence
1,comparative,"While Myotis lucifugus is an insectivore, Carcharodon carcharias is a carnivore."
2,traits,"Regarding the blue mussel, its gills function both in respiration and in trapping food particles."
3,taxonomy,"Within the class Hydrozoa, Hydra viridissima belongs to the order Anthoathecata."
4,comparative,"While Archilochus colubris is a nectarivore, Homarus americanus is a scavenger and predator."
5,comparative,"Lithobates catesbeianus excretes nitrogen mainly as urea as an adult and ammonia as a larva, whereas Latrodectus mactans excretes it mainly as guanine and uric acid."
6,comparative,"Giraffa camelopardalis is endothermic, whereas Latimeria chalumnae is ectothermic."
7,physiology,"The circulatory system of the ruby-throated hummingbird is closed, with a four-chambered heart."
8,concepts,"In comparative physiology, in an open circulatory system, hemolymph bathes the organs directly within a hemocoel."
9,comparative,"Euplectella aspergillum exchanges gases through diffusion driven by water currents, whereas Lumbricus terrestris uses the moist body surface."
10,comparative,"Tyto alba has a circulatory system that is closed, whereas that of Drosophila melanogaster is open."
11,comparative,"In contrast to the endothermic Tursiops truncatus, Petromyzon marinus is ectothermic."
12,comparative,"Unlike Hypsibius exemplaris, which respires through diffusion across the body surface, Panthera leo respires through lungs."
13,comparative,"Archilochus colubris excretes nitrogen mainly as uric acid, whereas Canis lupus excretes it mainly as urea."
14,comparative,"Latimeria chalumnae excretes nitrogen mainly as urea, whereas Iguana iguana excretes it mainly as uric acid."
15,comparative,"Limulus polyphemus excretes nitrogen mainly as ammonia, whereas Struthio camelus excretes it mainly as uric acid."
16,comparative,"In contrast to the ectothermic Latrodectus mactans, Ursus maritimus is endothermic."
17,taxonomy,"Within the class Mammalia, Mus musculus belongs to the order Rodentia."
18,comparative,"While Euplectella aspergillum is a filter feeder, Caenorhabditis elegans is a bacterivore."
19,comparative,"Unlike Iguana iguana, which excretes uric acid, Lumbricus terrestris excretes ammonia and urea."
20,comparative,"Ambystoma mexicanum is ectothermic, whereas Myotis lucifugus is endothermic."
21,comparative,"Unlike Balaenoptera musculus, which is endothermic, Drosophila melanogaster is ectothermic."
22,ecology,The desert locust is a herbivore.
23,traits,Researchers studying Rhinella marina have noted that females can lay tens of thousands of eggs in a single clutch.
24,comparative,"Unlike Strongylocentrotus purpuratus, which respires through tube feet and peristomial gills, Limulus polyphemus respires through book gills."
25,comparative,"Unlike Lithobates catesbeianus, which excretes urea as an adult and ammonia as a larva, Danaus plexippus excretes uric acid."
26,comparative,"Pan troglodytes is an omnivore, whereas Loxodonta africana is a herbivore."
27,comparative,"While Tyto alba is a carnivore, Caenorhabditis elegans is a bacterivore."
28,comparative,"Architeuthis dux is a carnivore, whereas Euplectella aspergillum is a filter feeder."
29,comparative,"Euplectella aspergillum belongs to the phylum Porifera, while Falco peregrinus belongs to the phylum Chordata."
30,comparative,"Archilochus colubris excretes nitrogen mainly as uric acid, whereas Balaenoptera musculus excretes it mainly as urea."
31,comparative,"Gallus gallus has bilateral symmetry, whereas Cornu aspersum has asymmetrical due to torsion and coiling symmetry."
32,comparative,"Mytilus edulis has a circulatory system that is open, whereas that of Latimeria chalumnae is closed."
33,comparative,"In contrast to the ectothermic Architeuthis dux, Tursiops truncatus is endothermic."
34,traits,Researchers studying Pan troglodytes have noted that it lives in fission-fusion communities with complex social hierarchies.
35,comparative,"Unlike Latrodectus mactans, which respires through book lungs and tracheae, Drosophila melanogaster respires through a tracheal system."
36,comparative,"Ornithorhynchus anatinus excretes nitrogen mainly as urea, whereas Hypsibius exemplaris excretes it mainly as ammonia."
37,comparative,"Unlike Caenorhabditis elegans, which respires through diffusion across the cuticle, Ursus maritimus respires through lungs."
38,comparative,"Gallus gallus excretes nitrogen mainly as uric acid, whereas Salmo salar excretes it mainly as ammonia."
39,comparative,"Danaus plexippus exchanges gases through a tracheal system, whereas Mus musculus uses lungs."
40,comparative,"Hirudo medicinalis is a hematophage, whereas Caenorhabditis elegans is a bacterivore."
41,comparative,"Unlike Hydra viridissima, which respires through diffusion across the body surface, Lithobates catesbeianus respires through lungs, skin, and buccal lining."
42,ecology,Archilochus colubris is a nectarivore that also eats small insects found in woodland edges and gardens.
43,comparative,"Unlike Limulus polyphemus, which excretes ammonia, Balaenoptera musculus excretes urea."
44,comparative,"Unlike Ophiophagus hannah, which respires through lungs, Hippocampus abdominalis respires through gills."
45,comparative,"Unlike Myotis lucifugus, which is endothermic, Danio rerio is ectothermic."
46,comparative,"Octopus vulgaris is ectothermic, whereas Osphranter rufus is endothermic."
47,comparative,"Unlike Danio rerio, which is ectothermic, Tursiops truncatus is endothermic."
48,traits,Researchers studying Iguana iguana have noted that it relies on hindgut fermentation by microbes to digest plant material.
49,comparative,"While Loxodonta africana is a herbivore, Latimeria chalumnae is a carnivore."
50,comparative,"Balaenoptera musculus is endothermic, whereas Octopus vulgaris is ectothermic."
51,comparative,"Drosophila melanogaster is a saprophage, whereas Danio rerio is an omnivore."
52,comparative,"Architeuthis dux is ectothermic, whereas Canis lupus is endothermic."
53,comparative,"Schistocerca gregaria is ectothermic, whereas Tursiops truncatus is endothermic."
54,comparative,"Unlike Asterias rubens, whose circulatory system is a water vascular system and a reduced hemal system, Struthio camelus has a circulatory system that is closed."
55,comparative,"Unlike Gallus gallus, which is endothermic, Cornu aspersum is ectothermic."
56,comparative,"Limulus polyphemus is ectothermic, whereas Gallus gallus is endothermic."
57,comparative,"Hypsibius exemplaris exchanges gases through diffusion across the body surface, whereas Ursus maritimus uses lungs."
58,comparative,"Tyto alba is a carnivore, whereas Pan troglodytes is an omnivore."
59,taxonomy,Octopus vulgaris is classified in the class Cephalopoda.
60,comparative,"Myotis lucifugus is endothermic, whereas Ambystoma mexicanum is ectothermic."
61,comparative,"Unlike Cornu aspersum, whose circulatory system is open, Panthera leo has a circulatory system that is closed."
62,comparative,"Danio rerio is an omnivore, whereas Cornu aspersum is a herbivore."
63,comparative,"Unlike Archilochus colubris, which is a nectarivore, Asterias rubens is a carnivore."
64,comparative,"Unlike Gallus gallus, which is endothermic, Lithobates catesbeianus is ectothermic."
65,comparative,"Apis mellifera has a circulatory system that is open, whereas that of Myotis lucifugus is closed."
66,comparative,"Unlike Panthera leo, which is a carnivore, Cornu aspersum is a herbivore."
67,comparative,"Unlike Petromyzon marinus, which respires through gills, Crocodylus niloticus respires through lungs."
68,comparative,"Euplectella aspergillum is a filter feeder, whereas Pan troglodytes is an omnivore."
69,comparative,"Limulus polyphemus has bilateral symmetry, whereas Asterias rubens has pentaradial as an adult and bilateral as a larva symmetry."
70,comparative,"Schistocerca gregaria exchanges gases through a tracheal system, whereas Osphranter rufus uses lungs."
71,taxonomy,The scientific name of the American bullfrog is Lithobates catesbeianus.
72,comparative,"Drosophila melanogaster is a saprophage, whereas Aurelia aurita is a carnivore."
73,comparative,"While Rhinella marina is a generalist predator, Salmo salar is a carnivore."
