id,domain,email_type,instruction,incoming_email,email,text
1,computer science,onboarding,"Write a friendly welcome email to Marta, a new developer joining the team, with first-week information.",,"Subject: Welcome to the team, Marta!

Hello Marta,

Welcome to the team! We're very glad to have you with us at Helix Data.

Here's what your first week will look like:
- On your first day, IT will help you set up your laptop and accounts.
- You'll get access to our repositories and the developer documentation.
- We'll walk you through our stack, which is built mainly on GraphQL and Kafka.
- By the end of the week, you'll pick up a small starter task to get familiar with the codebase and review process.

Felix will be your onboarding buddy, so don't hesitate to ask them anything. See you on Monday!

Best,
Anna","### Instruction:
Write a friendly welcome email to Marta, a new developer joining the team, with first-week information.

### Email:
Subject: Welcome to the team, Marta!

Hello Marta,

Welcome to the team! We're very glad to have you with us at Helix Data.

Here's what your first week will look like:
- On your first day, IT will help you set up your laptop and accounts.
- You'll get access to our repositories and the developer documentation.
- We'll walk you through our stack, which is built mainly on GraphQL and Kafka.
- By the end of the week, you'll pick up a small starter task to get familiar with the codebase and review process.

Felix will be your onboarding buddy, so don't hesitate to ask them anything. See you on Monday!

Best,
Anna
<|endoftext|>"
2,computer science,reply declining request,"Reply to Lucas explaining politely that the earlier deadline for the data migration is not realistic, and propose an alternative.","Subject: Can we deliver the data migration by Friday?

Hi Elena,

The client is asking whether we can deliver the data migration by this Friday instead of next month. Is that realistic?

Best,
Lucas","Subject: Re: Can we deliver the data migration by Friday?

Hi Lucas,

Thanks for checking with me first. Unfortunately, delivering the data migration by Friday isn't realistic without cutting testing and code review, which would put quality and stability at risk.

What we could do instead is deliver a limited first version with the most important functionality by the end of next week, followed by the complete version on the original schedule. That way the client gets something useful early, and we keep our quality standards.

If that works for you, I can outline exactly what the first version would include so you can share it with the client.

Best,
Elena","### Instruction:
Reply to Lucas explaining politely that the earlier deadline for the data migration is not realistic, and propose an alternative.

### Incoming email:
Subject: Can we deliver the data migration by Friday?

Hi Elena,

The client is asking whether we can deliver the data migration by this Friday instead of next month. Is that realistic?

Best,
Lucas

### Email:
Subject: Re: Can we deliver the data migration by Friday?

Hi Lucas,

Thanks for checking with me first. Unfortunately, delivering the data migration by Friday isn't realistic without cutting testing and code review, which would put quality and stability at risk.

What we could do instead is deliver a limited first version with the most important functionality by the end of next week, followed by the complete version on the original schedule. That way the client gets something useful early, and we keep our quality standards.

If that works for you, I can outline exactly what the first version would include so you can share it with the client.

Best,
Elena
<|endoftext|>"
3,marketing,cold outreach,"Write a short, polite B2B cold outreach email to Felix Bianchi at Sierra Cloud, introducing TaskFlow.",,"Subject: Helping Sierra Cloud automate repetitive reporting

Hello Felix,

I'm Marta from Pinecrest Health. I noticed that Sierra Cloud has been growing quickly, and I thought TaskFlow might be relevant for your team.

TaskFlow helps companies like yours automate repetitive reporting. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Sincerely,
Marta Korhonen
Account Executive, Pinecrest Health","### Instruction:
Write a short, polite B2B cold outreach email to Felix Bianchi at Sierra Cloud, introducing TaskFlow.

### Email:
Subject: Helping Sierra Cloud automate repetitive reporting

Hello Felix,

I'm Marta from Pinecrest Health. I noticed that Sierra Cloud has been growing quickly, and I thought TaskFlow might be relevant for your team.

TaskFlow helps companies like yours automate repetitive reporting. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Sincerely,
Marta Korhonen
Account Executive, Pinecrest Health
<|endoftext|>"
4,computer science,reply to question,Reply to the following email from Ravi answering the question.,"Subject: Question

Hi Tomás,

Could you tell me whether we should use REST or GraphQL for the new client?

Thanks,
Ravi","Subject: Re: Question

Hi Ravi,

Good question. For this client I'd lean toward REST, since the data needs are simple and our existing tooling, caching, and monitoring are built around it. GraphQL would make more sense if the client needed flexible queries across many related resources.

Let me know if anything is unclear or if you need more details.

Thanks,
Tomás","### Instruction:
Reply to the following email from Ravi answering the question.

### Incoming email:
Subject: Question

Hi Tomás,

Could you tell me whether we should use REST or GraphQL for the new client?

Thanks,
Ravi

### Email:
Subject: Re: Question

Hi Ravi,

Good question. For this client I'd lean toward REST, since the data needs are simple and our existing tooling, caching, and monitoring are built around it. GraphQL would make more sense if the client needed flexible queries across many related resources.

Let me know if anything is unclear or if you need more details.

Thanks,
Tomás
<|endoftext|>"
5,computer science,meeting request,"Write an email to Priya proposing a meeting to discuss performance issues in PostgreSQL, offering two time slots.",,"Subject: Meeting about performance issues in PostgreSQL

Hello Priya,

I'd like to schedule a 30-minute meeting to discuss performance issues in PostgreSQL. There are a few open technical decisions, and it would be good to align before we move forward.

Would either of these slots work for you?
- Friday at 14:00
- Thursday at 13:00

If neither suits you, feel free to suggest another time. I'll send a calendar invite with a short agenda once we agree.

Best regards,
Clara Rossi
QA Engineer, Pinecrest Health","### Instruction:
Write an email to Priya proposing a meeting to discuss performance issues in PostgreSQL, offering two time slots.

### Email:
Subject: Meeting about performance issues in PostgreSQL

Hello Priya,

I'd like to schedule a 30-minute meeting to discuss performance issues in PostgreSQL. There are a few open technical decisions, and it would be good to align before we move forward.

Would either of these slots work for you?
- Friday at 14:00
- Thursday at 13:00

If neither suits you, feel free to suggest another time. I'll send a calendar invite with a short agenda once we agree.

Best regards,
Clara Rossi
QA Engineer, Pinecrest Health
<|endoftext|>"
6,computer science,incident report,Write a formal incident summary email to the engineering team about a 55-minute outage of the notification service caused by a faulty deployment that was rolled back.,,"Subject: Incident summary: notification service outage

Dear team,

This email summarizes the incident that affected the notification service on Thursday, 12 April.

Impact: The service was unavailable or degraded for approximately 55 minutes. Users experienced failed requests and timeouts during this period.

Root cause: The outage was caused by a faulty deployment that was rolled back.

Resolution: The on-call engineer identified the issue, applied a fix, and confirmed that the service had fully recovered. Monitoring shows normal error rates and latency since then.

Next steps: We will hold a blameless post-mortem this week, add an alert that would have detected the problem earlier, and update the runbook. Action items will be tracked in the incident ticket.

Please reply to this email if you have questions or additional information.

Best regards,
David Martin
Site Reliability Engineer, Kivi Labs","### Instruction:
Write a formal incident summary email to the engineering team about a 55-minute outage of the notification service caused by a faulty deployment that was rolled back.

### Email:
Subject: Incident summary: notification service outage

Dear team,

This email summarizes the incident that affected the notification service on Thursday, 12 April.

Impact: The service was unavailable or degraded for approximately 55 minutes. Users experienced failed requests and timeouts during this period.

Root cause: The outage was caused by a faulty deployment that was rolled back.

Resolution: The on-call engineer identified the issue, applied a fix, and confirmed that the service had fully recovered. Monitoring shows normal error rates and latency since then.

Next steps: We will hold a blameless post-mortem this week, add an alert that would have detected the problem earlier, and update the runbook. Action items will be tracked in the incident ticket.

Please reply to this email if you have questions or additional information.

Best regards,
David Martin
Site Reliability Engineer, Kivi Labs
<|endoftext|>"
7,marketing,reply to complaint,Reply professionally and empathetically to this customer complaint from Inés Müller.,"Subject: Problem with SecureGate

Hello,

The export feature has not worked for three days. This is very frustrating. Please fix it as soon as possible.

Inés Müller","Subject: Re: Problem with SecureGate

Hello Inés,

Thank you for contacting us, and I'm sorry for the trouble you've experienced with SecureGate.

Our team identified an issue affecting exports for some accounts and deployed a fix this morning. Could you try again and let me know whether it works for you now?

We appreciate your patience and your feedback, which helps us improve. If there is anything else I can do, please reply to this email and I will personally follow up.

Best regards,
Priya Virtanen
Customer Support Specialist, Bluefjord Tech","### Instruction:
Reply professionally and empathetically to this customer complaint from Inés Müller.

### Incoming email:
Subject: Problem with SecureGate

Hello,

The export feature has not worked for three days. This is very frustrating. Please fix it as soon as possible.

Inés Müller

### Email:
Subject: Re: Problem with SecureGate

Hello Inés,

Thank you for contacting us, and I'm sorry for the trouble you've experienced with SecureGate.

Our team identified an issue affecting exports for some accounts and deployed a fix this morning. Could you try again and let me know whether it works for you now?

We appreciate your patience and your feedback, which helps us improve. If there is anything else I can do, please reply to this email and I will personally follow up.

Best regards,
Priya Virtanen
Customer Support Specialist, Bluefjord Tech
<|endoftext|>"
8,computer science,reply to question,Reply to the following email from Felix answering the question.,"Subject: Question

Hi Inés,

Could you tell me why our API responses got slower after the last release?

Thanks,
Felix","Subject: Re: Question

Hey Felix,

Thanks for your message. The slowdown comes from a new database query added in the last release that runs without an index. Adding a composite index on the filtered columns should bring response times back to normal, and I've prepared a migration for it.

Let me know if anything is unclear or if you need more details.

Cheers,
Inés","### Instruction:
Reply to the following email from Felix answering the question.

### Incoming email:
Subject: Question

Hi Inés,

Could you tell me why our API responses got slower after the last release?

Thanks,
Felix

### Email:
Subject: Re: Question

Hey Felix,

Thanks for your message. The slowdown comes from a new database query added in the last release that runs without an index. Adding a composite index on the filtered columns should bring response times back to normal, and I've prepared a migration for it.

Let me know if anything is unclear or if you need more details.

Cheers,
Inés
<|endoftext|>"
9,computer science,maintenance announcement,"Write an email announcing scheduled maintenance of the user dashboard on Friday, 17 February at 11:00 UTC, lasting 3 hours.",,"Subject: Scheduled maintenance: user dashboard on Friday, 17 February

Dear all,

We will perform scheduled maintenance on the user dashboard on Friday, 17 February, starting at 11:00 UTC. The maintenance window is expected to last up to 3 hours.

During this time, the service may be intermittently unavailable. We are upgrading the underlying infrastructure to improve reliability and performance.

No action is required from you. If you have critical jobs scheduled during this window, please reschedule them or contact us in advance. We will send a confirmation once the maintenance is complete.

Kind regards,
Marta Martin
Site Reliability Engineer, Helix Data","### Instruction:
Write an email announcing scheduled maintenance of the user dashboard on Friday, 17 February at 11:00 UTC, lasting 3 hours.

### Email:
Subject: Scheduled maintenance: user dashboard on Friday, 17 February

Dear all,

We will perform scheduled maintenance on the user dashboard on Friday, 17 February, starting at 11:00 UTC. The maintenance window is expected to last up to 3 hours.

During this time, the service may be intermittently unavailable. We are upgrading the underlying infrastructure to improve reliability and performance.

No action is required from you. If you have critical jobs scheduled during this window, please reschedule them or contact us in advance. We will send a confirmation once the maintenance is complete.

Kind regards,
Marta Martin
Site Reliability Engineer, Helix Data
<|endoftext|>"
10,marketing,cold outreach,"Write a short, polite B2B cold outreach email to David López at Helix Data, introducing TaskFlow.",,"Subject: Helping Helix Data reduce errors in their billing process

Hello David,

I'm Yusuf from Lumen Retail. I noticed that Helix Data has been growing quickly, and I thought TaskFlow might be relevant for your team.

TaskFlow helps companies like yours reduce errors in their billing process. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Sincerely,
Yusuf Silva
Account Executive, Lumen Retail","### Instruction:
Write a short, polite B2B cold outreach email to David López at Helix Data, introducing TaskFlow.

### Email:
Subject: Helping Helix Data reduce errors in their billing process

Hello David,

I'm Yusuf from Lumen Retail. I noticed that Helix Data has been growing quickly, and I thought TaskFlow might be relevant for your team.

TaskFlow helps companies like yours reduce errors in their billing process. One of our customers reduced the time spent on this work by about a third within three months.

Would you be open to a 20-minute call next week to see whether it could be a good fit? If this isn't a priority right now, just let me know and I won't follow up.

Sincerely,
Yusuf Silva
Account Executive, Lumen Retail
<|endoftext|>"
