id,category,sentence
1,calculations,"A company with 148 million shares outstanding at a price of 257.65 pounds has a market capitalization of about 38,132.2 million pounds."
2,calculations,"The future value of 8,500 euros invested for 23 years at a 1.5% annual rate, compounded yearly, is about 11,971.21 euros."
3,calculations,"A bond with a face value of 1,000 pounds, a 4% annual coupon, and a price of 895 pounds has a current yield of about 4.47%. The bond trades at a discount."
4,comparative,"The return on a certificate of deposit comes from fixed interest, while the return on a money market fund comes from short-term interest income."
5,calculations,An annual dividend of 5.59 euros on a share priced at 206 euros gives a dividend yield of 2.71%.
6,calculations,"If revenue changes from 9,600 to 9,539 thousand pounds, the percentage change is -0.6%."
7,concepts,"In finance, working capital equals current assets minus current liabilities."
8,comparative,"The return on a zero-coupon bond comes from the difference between the purchase price and face value, while the return on a treasury bill comes from the discount between the purchase price and face value."
9,calculations,"A company with 392 million shares outstanding at a price of 126.98 euros has a market capitalization of about 49,776.2 million euros."
10,calculations,An annual dividend of 7.90 pounds on a share priced at 12 pounds gives a dividend yield of 65.83%.
11,instruments,"Regarding liquidity, an interest rate swap offers moderate liquidity for standard maturities."
12,calculations,Net income of 9 million dollars divided by 282 million shares gives earnings per share of 0.03 dollars.
13,calculations,"With a nominal return of 4% and inflation of 1.5%, the real return is about 2.46% using the exact Fisher relation."
14,comparative,"An interest rate swap is a derivative, whereas a government bond is a debt security."
15,ratios,The days sales outstanding measures the average number of days needed to collect payment from customers.
16,calculations,A share priced at 280 pounds with earnings per share of 13.34 pounds has a price-to-earnings ratio of about 21.0.
17,concepts,"As a general principle, hedging is the use of financial instruments to reduce exposure to a specific risk."
18,calculations,"If a 5% coupon bond with a 1,000 euros face value trades at 870 euros, its current yield is approximately 5.75%. The bond trades at a discount."
19,calculations,"The monthly payment on a 10-year amortizing loan of 35,000 euros at 3% annual interest is approximately 337.96 euros."
20,concepts,"In finance, the consumer price index tracks changes in the price of a basket of consumer goods and services."
21,calculations,Net income of 619 million euros divided by 249 million shares gives earnings per share of 2.49 euros.
22,calculations,"If a 4% coupon bond with a 1,000 pounds face value trades at 965 pounds, its current yield is approximately 4.15%. The bond trades at a discount."
23,calculations,"A company with net income of 28,100,000 euros and average equity of 346,200,000 euros has a return on equity of 8.1%."
24,calculations,"Net income of 38,800,000 pounds on shareholders' equity of 282,800,000 pounds corresponds to a return on equity of about 13.7%."
25,concepts,"In finance, a leveraged buyout is an acquisition financed largely with borrowed money."
26,calculations,Net income of 176 million pounds divided by 84 million shares gives earnings per share of 2.10 pounds.
27,calculations,A nominal interest rate of 3% combined with 1% inflation implies a real interest rate of approximately 1.98%.
28,calculations,"A company with current assets of 4,820 thousand dollars and current liabilities of 1,090 thousand dollars has a current ratio of 4.42."
29,calculations,"If a 6% coupon bond with a 1,000 pounds face value trades at 875 pounds, its current yield is approximately 6.86%. The bond trades at a discount."
30,comparative,"The return on an exchange-traded fund comes from distributions and price changes, while the return on a put option comes from payoff when the underlying price falls below the strike price."
31,calculations,"If earnings per share are 8.34 dollars and the share price is 83 dollars, the P/E ratio is approximately 10.0."
32,calculations,Net income of 595 million pounds divided by 94 million shares gives earnings per share of 6.33 pounds.
33,calculations,"Net income of 21,400,000 dollars on shareholders' equity of 336,100,000 dollars corresponds to a return on equity of about 6.4%."
34,calculations,"An investment of 5,000 euros at 6% annual interest compounded annually grows to about 13,463.86 euros after 17 years."
